id,kind,n,label,max_phi,mean_phi,n_reachable,edges,mediator_depends_both,strict_mediation,back_channel,parity_present,mediator_fn
205,triad,3,"W=FALSE,S=copyB,C=~A|B",0.0,0.0,3,3,0,0,1,0,(none)
206,triad,3,"W=FALSE,S=copyB,C=OR",0.0,0.0,3,3,0,0,1,0,(none)
207,triad,3,"W=FALSE,S=copyB,C=TRUE",0.0,0.0,2,1,0,0,0,0,(none)
208,triad,3,"W=FALSE,S=~A|B,C=FALSE",0.0,0.0,2,2,1,0,0,0,~A|B
209,triad,3,"W=FALSE,S=~A|B,C=NOR",0.0,0.0,4,4,1,0,1,0,~A|B
210,triad,3,"W=FALSE,S=~A|B,C=W&~C",0.0,0.0,4,4,1,0,1,0,~A|B
211,triad,3,"W=FALSE,S=~A|B,C=~C",0.0,0.0,3,3,1,0,1,0,~A|B
212,triad,3,"W=FALSE,S=~A|B,C=~W&C",0.0,0.0,3,4,1,0,1,0,~A|B
213,triad,3,"W=FALSE,S=~A|B,C=~W",0.0,0.0,4,3,1,0,0,0,~A|B
214,triad,3,"W=FALSE,S=~A|B,C=XOR",0.0,0.0,4,4,1,0,1,1,~A|B
215,triad,3,"W=FALSE,S=~A|B,C=NAND",0.0,0.0,3,4,1,0,1,0,~A|B
216,triad,3,"W=FALSE,S=~A|B,C=AND",0.0,0.0,3,4,1,0,1,0,~A|B
217,triad,3,"W=FALSE,S=~A|B,C=XNOR",0.0,0.0,4,4,1,0,1,1,~A|B
218,triad,3,"W=FALSE,S=~A|B,C=copyA",0.0,0.0,4,3,1,0,0,0,~A|B
219,triad,3,"W=FALSE,S=~A|B,C=A|~B",0.0,0.0,3,4,1,0,1,0,~A|B
220,triad,3,"W=FALSE,S=~A|B,C=copyB",0.0,0.0,3,3,1,0,1,0,~A|B
221,triad,3,"W=FALSE,S=~A|B,C=~A|B",0.0,0.0,4,4,1,0,1,0,~A|B
222,triad,3,"W=FALSE,S=~A|B,C=OR",0.0,0.0,4,4,1,0,1,0,~A|B
223,triad,3,"W=FALSE,S=~A|B,C=TRUE",0.0,0.0,2,2,1,0,0,0,~A|B
224,triad,3,"W=FALSE,S=OR,C=FALSE",0.0,0.0,2,2,1,0,0,0,OR
225,triad,3,"W=FALSE,S=OR,C=NOR",0.0,0.0,4,4,1,0,1,0,OR
226,triad,3,"W=FALSE,S=OR,C=W&~C",0.0,0.0,4,4,1,0,1,0,OR
227,triad,3,"W=FALSE,S=OR,C=~C",0.0,0.0,3,3,1,0,1,0,OR
228,triad,3,"W=FALSE,S=OR,C=~W&C",0.0,0.0,3,4,1,0,1,0,OR
229,triad,3,"W=FALSE,S=OR,C=~W",0.0,0.0,4,3,1,0,0,0,OR
230,triad,3,"W=FALSE,S=OR,C=XOR",0.0,0.0,4,4,1,0,1,1,OR
231,triad,3,"W=FALSE,S=OR,C=NAND",0.0,0.0,3,4,1,0,1,0,OR
232,triad,3,"W=FALSE,S=OR,C=AND",0.0,0.0,3,4,1,0,1,0,OR
233,triad,3,"W=FALSE,S=OR,C=XNOR",0.0,0.0,4,4,1,0,1,1,OR
234,triad,3,"W=FALSE,S=OR,C=copyA",0.0,0.0,4,3,1,0,0,0,OR
235,triad,3,"W=FALSE,S=OR,C=A|~B",0.0,0.0,3,4,1,0,1,0,OR
236,triad,3,"W=FALSE,S=OR,C=copyB",0.0,0.0,3,3,1,0,1,0,OR
237,triad,3,"W=FALSE,S=OR,C=~A|B",0.0,0.0,4,4,1,0,1,0,OR
238,triad,3,"W=FALSE,S=OR,C=OR",0.0,0.0,4,4,1,0,1,0,OR
239,triad,3,"W=FALSE,S=OR,C=TRUE",0.0,0.0,2,2,1,0,0,0,OR
240,triad,3,"W=FALSE,S=TRUE,C=FALSE",0.0,0.0,1,0,0,0,0,0,(none)
241,triad,3,"W=FALSE,S=TRUE,C=NOR",0.0,0.0,2,2,0,0,1,0,(none)
