idx,n_edges,n_bidir,strongly_connected,syn_sum,syn_min,syn_max,n_fixed,n_reachable,invertible,max_period,triadic,max_phi
470,8,4,1,4.0,1.0,1.0,2,10,0,1,1,4.000000
471,6,3,0,3.0,0.0,1.0,1,6,0,1,0,0.000000
472,6,2,0,3.0,0.0,1.0,1,4,0,1,0,0.000000
473,5,3,0,1.0,0.0,1.0,1,6,0,3,0,0.000000
474,6,3,0,2.0,0.0,1.0,1,6,0,1,0,0.000000
475,5,3,0,2.0,0.0,1.0,1,6,0,2,0,0.000000
476,3,2,0,0.0,0.0,0.0,0,4,0,4,0,0.000000
477,7,4,1,2.0,0.0,1.0,1,9,0,1,0,0.000000
478,5,3,0,2.0,0.0,1.0,0,6,0,4,0,0.000000
479,6,3,0,1.0,0.0,1.0,1,8,0,7,0,0.000000
480,7,4,1,3.0,0.0,1.0,1,10,0,4,1,0.830075
481,5,2,0,2.0,0.0,1.0,1,5,0,1,0,0.000000
482,4,2,0,1.0,0.0,1.0,1,6,0,1,0,0.000000
483,5,3,0,1.0,0.0,1.0,2,8,0,3,0,0.000000
484,7,4,1,1.0,0.0,1.0,2,12,0,6,1,2.000000
485,7,4,1,3.0,0.0,1.0,1,9,0,2,1,0.830075
486,8,4,1,3.0,0.0,1.0,0,8,0,3,1,0.830075
487,7,4,1,2.0,0.0,1.0,1,10,0,2,1,0.415037
488,3,1,0,1.0,0.0,1.0,1,3,0,1,0,0.000000
489,6,3,0,2.0,0.0,1.0,1,6,0,3,0,0.000000
490,7,4,1,3.0,0.0,1.0,2,7,0,2,0,0.000000
491,7,3,0,2.0,0.0,1.0,1,7,0,3,0,0.000000
492,7,4,1,2.0,0.0,1.0,1,10,0,7,1,0.415037
493,7,4,1,3.0,0.0,1.0,1,10,0,1,1,0.415037
494,3,1,0,1.0,0.0,1.0,1,4,0,1,0,0.000000
495,7,4,1,3.0,0.0,1.0,2,9,0,3,1,0.830075
496,6,3,0,2.0,0.0,1.0,2,6,0,2,0,0.000000
497,8,4,1,3.0,0.0,1.0,1,10,0,8,1,0.830075
498,8,4,1,2.0,0.0,1.0,2,12,0,6,1,0.830075
499,3,2,0,0.0,0.0,0.0,0,8,0,4,0,0.000000
500,7,4,1,3.0,0.0,1.0,1,9,0,3,1,0.830075
501,7,4,1,2.0,0.0,1.0,1,8,0,2,0,0.000000
502,6,4,1,1.0,0.0,1.0,1,12,0,8,1,2.000000
503,7,4,1,3.0,0.0,1.0,0,7,0,4,0,0.000000
504,8,4,1,3.0,0.0,1.0,1,9,0,1,1,0.830075
505,8,4,1,3.0,0.0,1.0,0,10,0,6,1,0.830075
506,5,3,0,2.0,0.0,1.0,1,6,0,1,0,0.000000
507,4,0,0,1.0,0.0,1.0,1,3,0,1,0,0.000000
508,4,2,0,0.0,0.0,0.0,2,4,0,2,0,0.000000
509,5,4,1,1.0,0.0,1.0,1,12,0,1,1,2.000000
510,6,2,0,2.0,0.0,1.0,0,5,0,4,0,0.000000
511,8,4,1,3.0,0.0,1.0,2,10,0,2,1,0.830075
512,3,2,0,1.0,0.0,1.0,1,4,0,1,0,0.000000
513,6,3,0,3.0,0.0,1.0,1,7,0,1,0,0.000000
