idx,n,density,noise,n_edges,gates,phi_mean,phi_max,n_states_evaluated,tdmi,phi_wms,stochastic_interaction,causal_density,integrated_synergy,total_correlation
174,4,0.3,0.2,6,or|copy|or|copy,0.0,0.0,16,0.8149408323923866,0.0,0.25045380514018944,0.01993894482434887,-1.1102230246251565e-16,0.007147364141343537
175,4,0.3,0.2,4,parity|parity|or|parity,0.0,0.0,16,0.9210505358995384,2.7755575615628914e-16,0.4883000054157258,0.04069166711797722,-0.10072151875553237,0.19123708455101252
176,4,0.3,0.2,6,majority|copy|and|majority,0.0,0.0,16,0.9376949059869136,0.06741154807071109,0.6610214378561459,0.052361012500293264,-0.06481955385699811,0.17459271446363722
177,4,0.3,0.2,4,or|and|copy|parity,0.0,0.0,16,1.0166690781750445,-1.6653345369377348e-16,0.8002938129331372,0.06669115107776154,-0.050360759377766406,0.0956185422755067
178,4,0.3,0.2,6,copy|copy|majority|majority,1.5705725885144984e-17,9.011837197545262e-17,16,0.8218764806716771,0.20518153744717715,0.7349250557086675,0.0673995987502768,-0.10967972755835242,0.26365354721378687
179,4,0.3,0.2,5,majority|parity|parity|majority,0.0,0.0,16,1.0166690781750445,0.2780719051126377,0.8002938129331381,0.04351849231837509,-0.05036075937776663,0.09561854227550626
180,4,0.5,0.0,9,majority|and|and|and,0.0,0.0,7,1.875,-1.0,1.7342878725332909,0.25589939555785723,-1.1467822215997983,1.2280021940011117
181,4,0.5,0.0,10,or|or|or|and,0.0,0.0,4,1.2987949406953985,-0.5435644431995963,0.0,0.0,-0.5435644431995963,1.1431765133625236
182,4,0.5,0.0,8,or|majority|copy|and,0.0,0.0,3,0.5435644431995963,-0.5435644431995963,0.0,0.0,-0.5435644431995963,1.630693329598789
183,4,0.5,0.0,9,majority|or|and|parity,0.0,0.0,6,1.4056390622295662,-1.0,0.0,0.0,-1.0,2.13792538097003
184,4,0.5,0.0,11,or|majority|or|and,0.0,0.0,6,1.5306390622295662,-1.0,0.0,0.0,-1.1467822215997983,1.350215447587044
