idx,n,density,noise,ergodic,psi,i,log2_kappa,H_pi,h_pi,phi_psi,phi_mean,phi_max,phi_piw,gates,phi_wms,stochastic_interaction,total_correlation,causal_density,integrated_synergy,tdmi
36,3,0.3,0.2,1,0.09561854227550626,0.7385971730624066,5.165784284662087,2.9043814577244937,2.165784284662087,-4.440892098500626e-16,0.0,0.0,0.0,parity|and|or,1.6653345369377348e-16,0.24415000270786358,0.09561854227550626,0.040691667117977254,-0.05036075937776596,0.7385971730624069
37,3,0.3,0.2,1,0.11354546070873628,0.7206702546291766,5.165784284662087,2.8864545392912637,2.165784284662087,0.017926918433230465,0.0,0.0,0.0,majority|parity|copy,0.14085126984132407,0.5178557889403135,0.11354546070873628,0.09186969112550485,-0.06931883194315747,0.7206702546291763
38,3,0.3,0.2,1,0.33589363183968013,0.4983220834982327,5.165784284662087,2.66410636816032,2.165784284662087,-0.05257771497923658,0.0,0.0,0.0,and|copy|parity,0.1409699687663699,0.5263448878251111,0.10253955167601969,0.09059612244340093,-0.020525369898450163,0.4983220834982822
39,3,0.3,0.2,1,0.2051783902015769,0.6290373251363359,5.165784284662087,2.794821609798423,2.165784284662087,-0.05491384078616912,0.0,0.0,0.0,majority|or|and,6.661338147750939e-16,0.3028970017857957,0.02006163440306441,0.05048283363096601,2.7755575615628914e-16,0.629037325136375
40,3,0.3,0.2,1,0.0956185422755067,0.738597173062407,5.165784284662087,2.9043814577244937,2.1657842846620867,6.661338147750939e-16,0.0,0.0,0.0,and|copy|or,0.1824533628371311,0.8342157153379128,0.09561854227550626,0.14468960295711455,-0.033921902404774884,0.738597173062407
41,3,0.3,0.2,1,0.09561854227550626,0.7385971730624066,5.165784284662087,2.9043814577244937,2.165784284662087,-4.440892098500626e-16,0.0,0.0,0.0,copy|parity|parity,1.6653345369377348e-16,0.24415000270786358,0.09561854227550626,0.040691667117977254,-0.05036075937776596,0.7385971730624069
42,3,0.3,0.2,1,0.18970004536806107,0.6445156699698527,5.165784284662087,2.8102999546319394,2.1657842846620867,-0.03244521230700559,0.0,0.0,0.0,majority|or|copy,0.059846773730917846,0.3158433362593662,0.05329298878901412,0.05411240764648197,-0.01714413817335625,0.644515669969866
43,3,0.3,0.2,1,0.0,0.8342157153379128,5.165784284662087,3.0,2.165784284662087,-4.440892098500626e-16,0.34717281541767053,0.3471728154176706,0.34717281541767053,parity|majority|parity,0.5561438102252761,0.8342157153379124,0.0,0.09269063503754592,0.18245336283713204,0.8342157153379128
44,3,0.3,0.2,1,0.11354546070873672,0.7206702546291761,5.165784284662087,2.8864545392912633,2.165784284662087,0.017926918433230687,0.0,0.0,0.0,copy|or|majority,0.14085126984132346,0.5178557889403135,0.11354546070873672,0.09186969112550485,-0.06931883194315802,0.7206702546291763
45,3,0.5,0.0,0,1.7012050593046015,1.2987949406953985,3.0,1.2987949406953985,0.0,-0.6207230355827522,0.0,0.0,0.0,and|or|majority,-0.8112781244591328,0.0,0.8673257514224635,0.0,-0.8112781244591328,1.2987949406953985
46,3,0.5,0.0,0,1.5943609377704335,1.4056390622295665,3.0,1.4056390622295665,0.0,-0.7275671571169202,0.0,0.0,0.0,copy|and|copy,-1.0,0.0,1.13792538097003,0.0,-1.0,1.4056390622295662
47,3,0.5,0.0,0,0.0,3.0,3.0,3.0,0.0,0.0,2.0,2.0,2.0,parity|parity|copy,2.0,2.999999999876084,0.0,0.16666666666666666,0.0,3.0
48,3,0.5,0.0,0,0.8443609377704338,2.1556390622295662,3.0,2.1556390622295662,0.0,-0.29424740770635904,0.13834583309294793,0.41503749927884376,0.05187968740985547,or|parity|majority,0.050796494570837236,1.7624831836811234,0.342359383894995,0.29582772792124473,-0.2935644431995963,2.1556390622295662
49,3,0.5,0.0,0,1.0943609377704335,1.9056390622295665,3.0,1.9056390622295665,0.0,-0.6769350411342709,0.08300749985576875,0.41503749927884376,0.0,parity|copy|and,0.0,1.8568441214515572,0.04879494073670432,0.30947402025569465,-0.04879494069539869,1.9056390622295662
