net_idx,n,density,noise,n_edges,state,phi,n_distinctions,sum_phi_distinctions,n_relations,sum_phi_relations,mean_order,frac_higher_order,max_order
10,3,0.3,0.05,4,010,0.0,2,0.6867304397803516,2,0.5164089720101389,1.0,0.0,1
10,3,0.3,0.05,4,011,0.0,3,2.8509520204522056,7,3.552503519860312,1.3333333333333333,0.3333333333333333,2
10,3,0.3,0.05,4,101,0.0,2,1.9150592833692797,2,0.8853192227232352,1.0,0.0,1
11,3,0.3,0.05,4,111,1.5334116678095413,4,4.106177667285106,8,5.831170619785237,1.25,0.25,2
11,3,0.3,0.05,4,011,0.0,1,1.5446100909690668,1,1.5446100909690668,1.0,0.0,1
11,3,0.3,0.05,4,010,0.0,3,2.2855084757694923,4,2.6559576681697052,1.0,0.0,1
11,3,0.3,0.05,4,000,0.0,3,0.9963805864557449,4,1.2390886780282981,1.0,0.0,1
11,3,0.3,0.05,4,110,0.0,1,1.5446100909690668,1,1.5446100909690668,1.0,0.0,1
11,3,0.3,0.05,4,001,0.0,1,0.2554822016553191,1,0.12774110082765955,1.0,0.0,1
12,3,0.3,0.2,3,011,0.0,1,0.5424575240901102,1,0.1808191746967034,1.0,0.0,1
12,3,0.3,0.2,3,111,0.0,1,0.5424575240901102,1,0.1808191746967034,1.0,0.0,1
12,3,0.3,0.2,3,110,0.0,1,0.5424575240901102,1,0.1808191746967034,1.0,0.0,1
12,3,0.3,0.2,3,010,0.0,1,0.5424575240901102,1,0.1808191746967034,1.0,0.0,1
12,3,0.3,0.2,3,101,0.0,1,0.5424575240901102,1,0.1808191746967034,1.0,0.0,1
12,3,0.3,0.2,3,100,0.0,1,0.5424575240901102,1,0.1808191746967034,1.0,0.0,1
13,3,0.3,0.2,4,001,0.0,3,0.9664505384134872,3,0.575397663624869,1.0,0.0,1
13,3,0.3,0.2,4,011,0.0,3,0.98408889934124,3,0.5842168440887455,1.0,0.0,1
13,3,0.3,0.2,4,101,0.0,3,1.0393923359921153,3,0.5285153484599341,1.0,0.0,1
13,3,0.3,0.2,4,111,0.0,3,1.0570306969198682,5,0.7858019348748131,1.0,0.0,1
13,3,0.3,0.2,4,110,0.0,3,1.0570306969198682,3,0.5285153484599341,1.0,0.0,1
13,3,0.3,0.2,4,100,0.0,3,1.0393923359921153,3,0.5196961679960577,1.0,0.0,1
14,3,0.3,0.2,3,000,0.0,2,1.0849150481802203,2,0.8136862861351652,1.0,0.0,1
14,3,0.3,0.2,3,010,0.0,2,1.0849150481802203,2,0.8136862861351652,1.0,0.0,1
14,3,0.3,0.2,3,100,0.0,2,1.0849150481802203,2,0.8136862861351652,1.0,0.0,1
14,3,0.3,0.2,3,001,0.0,2,1.0849150481802203,2,0.8136862861351652,1.0,0.0,1
14,3,0.3,0.2,3,101,0.0,2,1.0849150481802203,2,0.8136862861351652,1.0,0.0,1
14,3,0.3,0.2,3,111,0.0,2,1.0849150481802203,2,0.8136862861351652,1.0,0.0,1
15,3,0.3,0.2,4,000,0.0,4,1.8353448383133821,8,2.5611174682606292,1.25,0.25,2
15,3,0.3,0.2,4,101,0.0,3,0.9664505384134876,4,0.9664505384134876,1.0,0.0,1
15,3,0.3,0.2,4,111,0.0,3,0.9664505384134876,4,0.9664505384134876,1.0,0.0,1
15,3,0.3,0.2,4,110,0.0,3,1.3245632736673467,3,1.0533345116222916,1.0,0.0,1
15,3,0.3,0.2,4,010,0.0,4,1.8353448383133817,8,2.561117468260629,1.25,0.25,2
15,3,0.3,0.2,4,100,0.0,3,1.3245632736673467,3,1.0533345116222916,1.0,0.0,1
16,3,0.3,0.2,4,101,0.0,2,0.44163137525113016,2,0.34945898083300464,1.0,0.0,1
16,3,0.3,0.2,4,001,0.0,2,0.44163137525113016,2,0.34945898083300464,1.0,0.0,1
16,3,0.3,0.2,4,010,0.0,2,0.921159698597067,2,0.46681871652377327,1.0,0.0,1
16,3,0.3,0.2,4,100,0.0,3,1.431941263243102,7,1.8862822453163957,1.3333333333333333,0.3333333333333333,2
16,3,0.3,0.2,4,011,0.0,2,0.42399301432337744,2,0.3318206199052519,1.0,0.0,1
16,3,0.3,0.2,4,000,0.0,3,1.431941263243102,7,1.8862822453163957,1.3333333333333333,0.3333333333333333,2
17,3,0.3,0.2,5,110,0.0,1,0.5424575240901102,1,0.2712287620450551,1.0,0.0,1
17,3,0.3,0.2,5,101,0.0,2,0.7977316530736914,3,0.5265028910286363,2.0,0.5,3
17,3,0.3,0.2,5,010,0.0,2,0.7977316530736914,2,0.33504729429095037,2.0,0.5,3
17,3,0.3,0.2,5,000,0.0,2,0.7977316530736914,3,0.5265028910286363,2.0,0.5,3
17,3,0.3,0.2,5,001,0.0,1,0.5424575240901102,1,0.2712287620450551,1.0,0.0,1
17,3,0.3,0.2,5,100,0.0,1,0.5424575240901102,1,0.2712287620450551,1.0,0.0,1
18,3,0.5,0.0,6,000,0.0,6,3.122556248918266,60,18.210146848136926,1.5,0.5,2
18,3,0.5,0.0,6,100,0.0,4,2.292481250360578,7,1.9763156237379766,1.25,0.25,2
18,3,0.5,0.0,6,011,0.0,4,2.292481250360578,7,1.9763156237379764,1.25,0.25,2
18,3,0.5,0.0,6,111,0.0,6,3.122556248918266,60,18.21014684813692,1.5,0.5,2
19,3,0.5,0.0,5,000,0.0,2,2.0,2,1.5,1.0,0.0,1
19,3,0.5,0.0,5,100,0.0,2,2.0,2,1.5,1.0,0.0,1
19,3,0.5,0.0,5,011,0.0,2,2.0,2,1.5,1.0,0.0,1
19,3,0.5,0.0,5,111,0.0,2,2.0,2,1.5,1.0,0.0,1
20,3,0.5,0.0,3,000,0.0,1,1.0,1,0.3333333333333333,1.0,0.0,1
20,3,0.5,0.0,3,111,0.0,1,1.0,1,0.3333333333333333,1.0,0.0,1
21,3,0.5,0.0,5,000,0.0,3,1.1067666647435832,6,1.452631247475953,1.3333333333333333,0.3333333333333333,2
21,3,0.5,0.0,5,010,0.0,2,0.6917291654647395,1,0.0922305553952986,1.0,0.0,1
21,3,0.5,0.0,5,110,2.0,3,2.415037499278844,4,1.4967416652243541,1.3333333333333333,0.3333333333333333,2
21,3,0.5,0.0,5,001,0.0,2,0.6917291654647395,2,0.4150374992788437,1.5,0.5,2
21,3,0.5,0.0,5,011,0.0,1,0.2766916661858958,0,0.0,1.0,0.0,1
21,3,0.5,0.0,5,111,2.0,5,4.5,30,10.116666666666669,1.8,0.6,3
22,3,0.5,0.0,4,000,2.0,3,2.5,4,1.5,1.0,0.0,1
22,3,0.5,0.0,4,100,0.0,2,2.0,2,1.0,1.0,0.0,1
22,3,0.5,0.0,4,001,0.41503749927884376,3,1.7766916661858958,1,0.25,1.0,0.0,1
22,3,0.5,0.0,4,101,0.0,2,1.2766916661858958,2,0.6383458330929479,1.0,0.0,1
22,3,0.5,0.0,4,011,0.0,3,1.6917291654647395,2,0.48421041582531765,1.0,0.0,1
22,3,0.5,0.0,4,111,0.0,3,1.6917291654647395,4,1.1917291654647395,1.0,0.0,1
23,3,0.5,0.0,7,000,0.0,7,4.729322913661849,123,31.521547870873274,1.7142857142857142,0.5714285714285714,3
23,3,0.5,0.0,7,001,0.0,2,0.38677456786726483,0,0.0,1.0,0.0,1
23,3,0.5,0.0,7,101,0.0,2,0.38677456786726483,2,0.3317331170265803,1.0,0.0,1
23,3,0.5,0.0,7,111,0.0,4,1.3981346061173066,13,1.957970091661345,1.25,0.25,2
24,3,0.5,0.05,5,111,0.0,3,1.742195923878477,5,1.302346200064271,1.0,0.0,1
24,3,0.5,0.05,5,000,0.0,3,1.505630841683944,4,0.8805565216696316,1.0,0.0,1
24,3,0.5,0.05,5,101,0.0,3,1.6813968781536572,3,0.8710979619392385,1.0,0.0,1
24,3,0.5,0.05,5,010,0.0,3,1.5664298874087634,2,0.5675908246418655,1.0,0.0,1
24,3,0.5,0.05,5,001,0.0,3,1.6813968781536572,3,0.8406984390768286,1.0,0.0,1
24,3,0.5,0.05,5,110,0.0,3,1.5664298874087637,2,0.6554738428767222,1.0,0.0,1
25,3,0.5,0.05,4,101,0.0,2,1.7593988952568236,2,1.7593988952568236,1.0,0.0,1
25,3,0.5,0.05,4,111,0.0,2,1.7593988952568236,2,1.7593988952568236,1.0,0.0,1
25,3,0.5,0.05,4,010,0.0,2,1.7593988952568236,2,1.7593988952568236,1.0,0.0,1
25,3,0.5,0.05,4,011,0.0,2,1.7593988952568236,2,1.7593988952568236,1.0,0.0,1
25,3,0.5,0.05,4,100,0.0,2,1.7593988952568236,2,1.7593988952568236,1.0,0.0,1
25,3,0.5,0.05,4,001,0.0,2,1.7593988952568236,2,1.7593988952568236,1.0,0.0,1
26,3,0.5,0.05,4,111,0.0,3,2.6390983428852355,3,2.6390983428852355,1.0,0.0,1
26,3,0.5,0.05,4,011,0.0,3,2.6390983428852355,3,2.6390983428852355,1.0,0.0,1
26,3,0.5,0.05,4,100,0.0,3,2.6390983428852355,3,2.6390983428852355,1.0,0.0,1
26,3,0.5,0.05,4,110,0.0,3,2.6390983428852355,3,2.6390983428852355,1.0,0.0,1
26,3,0.5,0.05,4,010,0.0,3,2.6390983428852355,3,2.6390983428852355,1.0,0.0,1
26,3,0.5,0.05,4,000,0.0,3,2.6390983428852355,3,2.6390983428852355,1.0,0.0,1
27,3,0.5,0.05,3,101,0.0,2,1.7593988952568236,1,0.4398497238142059,1.0,0.0,1
27,3,0.5,0.05,3,000,0.0,2,1.7593988952568236,2,0.8796994476284118,1.0,0.0,1
