idx,gates,phi_mean,phi_max,n_states_evaluated,n,density,noise,n_edges,total_correlation,stochastic_interaction,lz_complexity,mean_abs_corr,tdmi,phi_wms,causal_density,integrated_synergy
679,and|majority|and|majority,0.0,0.0,16,4,0.8,0.05,10,0.02820351920654951,0.15315347334519247,0.29607617568587635,0.16855348614998558,0.1709398812931994,0.06589611734951814,0.011724965655563515,0.006090563085308864
680,copy|and|copy|parity,3.706965555690885e-17,1.4139261809941706e-16,16,4,0.8,0.2,14,0.09904665050585093,0.5644219978530152,0.9375745563386084,0.08622136258036672,0.803240909621525,0.2726732351018475,0.025620969070542527,0.07716428996524038
681,and|and|and|parity,2.164477367442512e-18,3.463163787908019e-17,16,4,0.8,0.2,14,0.00025276728058942766,0.25641580529390495,0.8608140663459738,0.020254307602761038,0.25639332695452743,0.009238813964142695,0.01026840949763348,0.005004992499331982
682,copy|majority|or|majority,0.0,0.0,16,4,0.8,0.2,11,0.046157282007877054,0.7922916427543223,0.9430574484809394,0.0676446978415253,0.8705155753174211,0.14278033563036818,0.06129810810897094,0.01866515160282034
683,parity|copy|copy|or,0.0,0.0,16,4,0.8,0.2,12,0.11770826438916737,0.8412467274012179,0.9375745563386084,0.11627823036326851,0.7813037666864098,0.04552234854804107,0.04995511688861839,0.022538629181291146
684,or|or|majority|copy,3.2018339598660904e-17,1.3121234959625905e-16,16,4,0.8,0.2,12,0.06309493496404706,0.482570870754758,0.8443653899189807,0.11740390297599486,0.5666245119021494,0.02388052519363182,0.03827158587596629,0.01036611138735466
685,and|and|majority|majority,0.0,0.0,16,4,0.8,0.2,11,0.0470093862092229,0.2557620912217211,0.762122007784015,0.12096538922549083,0.2966969006739687,0.06428314953224443,0.01927101285572189,0.01234208760728539
686,majority|parity|and|parity,0.0890076410662432,0.2777382523341365,16,4,0.8,0.2,12,0.0319847077351576,0.9033342896923711,0.9375745563386084,0.04224024103640295,0.9485613236779642,0.7361318521793202,0.022292738782150264,0.17037454960871334
687,parity|majority|majority|and,0.018405379983943614,0.12269989144940872,16,4,0.8,0.2,12,0.03445808542451578,0.6005811030898682,0.8772627427729669,0.07431431142056022,0.7029135463718863,0.47249543958597523,0.02256766856797709,0.17741098567066438
688,or|or|majority|and,3.7898203801387453e-17,1.3121234959625905e-16,16,4,0.8,0.2,14,0.026378305544763947,0.3249939054106701,0.8827456349152979,0.09717846299096715,0.5095200150029702,0.21307344733348907,0.020355105949091696,0.045906516927441354
689,or|copy|majority|majority,0.014702345121909625,0.23523752195055342,16,4,0.8,0.2,13,0.05437951900633209,0.6301376698415733,0.8717798506306359,0.11658650591846104,0.6420530684934678,0.12128734236368639,0.04595835416635324,-0.004952351669883948
690,parity|copy|and|and,0.017358640770883543,0.2777382523341367,16,4,0.8,0.2,12,0.003742980015021935,0.6365219999791156,0.9156429877692842,0.07224923518463243,0.6346419078029039,0.3013347191183258,0.02849419671217492,0.019513925366123452
691,and|parity|or|and,8.971323622464413e-18,8.103529495816392e-17,16,4,0.8,0.2,13,0.014903978263934192,0.4628975376084741,0.9046772034846221,0.05839438100932754,0.5238472565378665,0.1080076951292415,0.020152145108015284,0.011264892251417632
692,copy|copy|and|parity,3.124524373179082e-17,1.4139261809941706e-16,16,4,0.8,0.2,13,0.1150379942781048,0.676762173454363,0.9485403406232704,0.10314527493130211,0.8780066725426283,0.3553585451119424,0.033273504066959114,-0.02230449577020066
693,majority|majority|majority|parity,0.006512180040411049,0.10419488064657678,16,4,0.8,0.2,11,0.061206428189079176,0.6196338222878213,0.8827456349152979,0.06328059493186118,0.7233705796472065,0.2618733313125363,0.044673735599787434,0.03708787635291422
694,and|and|and|majority,0.007668743215588045,0.12269989144940872,16,4,0.8,0.2,13,0.0014673268652622973,0.14897814727395708,0.7895364684956702,0.0643198890784286,0.17870427580834825,0.028907386098723342,0.0073159936376262615,0.02003891384995013
