idx,n,density,noise,n_edges,gates,phi_mean,phi_max,n_states_evaluated,total_correlation,stochastic_interaction,lz_complexity,mean_abs_corr,n_edges
83,3,0.5,0.2,4.0,or|and|and,0.0,0.0,8,0.020061634403241158,0.3028970017861452,0.8792288987819369,0.08217424639556338,4.0
84,3,0.5,0.2,7.0,copy|copy|and,0.0,0.0,8,0.007532894953425906,0.06131140518645095,0.7877890933086155,0.06018403055854079,7.0
85,3,0.5,0.2,3.0,majority|or|copy,0.0,0.0,8,0.09561854227550626,0.8342157153379128,0.9143980547332143,0.10755984913324156,3.0
86,3,0.5,0.2,4.0,copy|parity|parity,0.0,0.0,8,0.0,0.8342157153379124,0.9425333794942363,0.023729760492775864,4.0
87,3,0.5,0.2,4.0,copy|and|parity,0.0,0.0,8,0.05329298878913358,0.31584333625947725,0.8932965611624478,0.16612714441231505,4.0
88,3,0.5,0.2,4.0,and|majority|copy,0.0,0.0,8,0.05915788188950222,0.19519688019576797,0.8510935740209149,0.15139954133161795,4.0
89,3,0.5,0.2,5.0,majority|majority|or,0.0,0.0,8,0.019458341873589635,0.13738295466689632,0.8370259116404039,0.07444769666999955,5.0
90,3,0.8,0.0,7.0,and|and|majority,0.0,0.0,5,1.104842567658729,0.0,0.028135324761021978,0.0,7.0
91,3,0.8,0.0,9.0,parity|parity|or,0.6666666666666666,2.0,3,1.0871288863991926,0.0,0.035169155951277474,0.23546596734323866,9.0
92,3,0.8,0.0,6.0,copy|majority|majority,0.0,0.0,6,0.8112781244591329,0.0,0.014067662380510989,0.0,6.0
93,3,0.8,0.0,8.0,parity|majority|and,0.25,1.0,4,0.6359238270945913,2.5849394142282115e-26,0.028135324761021978,0.3333333333333333,8.0
94,3,0.8,0.0,7.0,majority|and|copy,0.0,0.0,5,0.2935644431995965,1.9999999999173892,0.035169155951277474,0.3631774320690564,7.0
95,3,0.8,0.0,7.0,copy|copy|majority,0.0,0.0,4,1.13792538097003,2.5849394142282115e-26,0.028135324761021978,0.0,7.0
96,3,0.8,0.0,6.0,majority|majority|parity,0.0,0.0,5,8.261158424005544e-11,0.0,0.035169155951277474,0.8042652680198105,6.0
97,3,0.8,0.0,5.0,copy|and|and,0.0,0.0,6,0.31127812445913294,0.0,0.014067662380510989,0.0,5.0
98,3,0.8,0.0,8.0,majority|parity|and,0.1660149997115375,0.41503749927884376,5,0.5694152051396562,2.5849394142282115e-26,0.035169155951277474,0.23546596734323863,8.0
99,3,0.8,0.0,9.0,or|or|and,0.0,0.0,3,0.5694152051396562,2.5849394142282115e-26,0.014067662380510989,0.0,9.0
100,3,0.8,0.0,6.0,copy|or|and,0.08300749985576875,0.41503749927884376,5,0.9544340029249647,1.8112781243765224,0.035169155951277474,0.0006680026720106883,6.0
101,3,0.8,0.0,8.0,parity|majority|majority,0.1660149997115375,0.41503749927884376,5,0.5694152051396562,2.5849394142282115e-26,0.035169155951277474,0.6653279785809904,8.0
102,3,0.8,0.0,8.0,copy|or|copy,0.0,0.0,3,1.13792538097003,0.0,0.028135324761021978,0.3333333333333333,8.0
103,3,0.8,0.0,5.0,or|and|and,0.0,0.0,5,0.9544340029249647,0.0,0.014067662380510989,0.0,5.0
104,3,0.8,0.0,6.0,and|copy|majority,0.4830074998557688,2.0,5,1.0871288863991926,2.5849394142282115e-26,0.028135324761021978,0.0,6.0
105,3,0.8,0.05,8.0,and|majority|majority,0.0,0.0,8,0.30796463933208074,0.29005448797753086,0.37982688427379674,0.3546921866822421,8.0
